count,hate_speech,offensive_language,neither,class,tweet
3,0,2,1,1,first thing wit ya next minute ya like hoe clipper
3,0,3,0,1,bare bitch see
3,0,3,0,1,correction bitch yo illiterate ass wanna eat pussy get center street boy dat u suck nun major
3,0,3,0,1,straight af except math bitch dealership lol
3,0,2,1,1,well would not coast much not see go bass fish bunch rich redneck either
3,0,0,3,2,plus sheryl crow
3,0,3,0,1,yep donttryme bitch bitchmode testme truth trust
3,2,1,0,0,bitch look like fucking white trash trailer park queen lookin man bear pig
3,0,3,0,1,bitch
3,1,2,0,1,alibaba jack get to love guy beat meg whitmans albino ass back us freakin commie genius
3,0,3,0,1,chase really get hoe every state crazy name truth
3,0,1,2,2,someone probably tell god trash
3,0,0,3,2,meanif blow foul yellow situation
3,0,0,3,2,let guess yellow cake crap different president
3,2,1,0,0,every bad bitch nigga treat like shit amp yet stay wanna
3,0,3,0,1,knee asscrow ass
3,0,1,2,2,stupid teacher talk like retard
3,0,2,1,1,twat well twat son
3,0,0,3,2,see actual tweet scan jihadi account put screen shot aid worker r spy
3,2,1,0,0,go sell iphone macs not support faggot
3,0,3,0,1,right hoe be not loyal
3,0,2,1,1,brad pitt old charlie sheen fuckkkkkkkkkkkkk
6,2,3,1,1,naaaaa pop across tl comment nice try faggot
3,0,3,0,1,go dumb essay bitch sad
3,0,3,0,1,early not annoy not come back ya fun fill weekend give attitude hoe
3,0,3,0,1,mannnnn wake bitch asse blood
3,2,1,0,0,fucking ugly bitch wanna stab death play around blood patrick bateman
3,0,3,0,1,charlie sheen real major fucking respect charlie sheen
3,0,1,2,2,guy not get evolution share common ancestor ape
3,0,3,0,1,fucc cash u hoe go respect u poccet break
3,0,0,3,2,bean yellow friday night brown nowa green leave curledfrost freezebean size reduce top end shrink
3,0,3,0,1,another woman be not gon keep come girl hoe be not get nothing ya
3,0,1,2,2,nope order dominos trash
3,0,3,0,1,beat pussy
3,0,3,0,1,ladylove married still wanna bang will not sex bitch troubadour probably
3,0,3,0,1,fuck ugly lol show tooth bitch fuck u
3,0,0,3,2,mandate still effect mean marriage ban nevada unconstitutional trial court yet enter injun
3,0,0,3,2,alarm set early bird n night xx
3,0,3,0,1,hoe
3,0,3,0,1,finger throbbing pussy slowly cum ur face
3,0,3,0,1,haha bitch even think attack elevator
3,0,3,0,1,yasss bitch get pay tho long dnt act crazy
3,0,0,3,2,lets say hellen keller make well brownie
3,0,0,3,2,give tankees mean yankees maybe next year
3,1,2,0,1,check yer phone nigger
3,0,0,3,2,get redskin fake injury
3,0,3,0,1,sick bitch
3,3,0,0,0,peckin order white christian color porto ricans arab jews dont know axin
3,1,2,0,1,would not trust male cheerleader cuz cimarron get one amp get allll bitch
3,2,1,0,0,ape fuck u break ass racist
3,0,3,0,1,lol bitch indian op
3,1,2,0,1,be not trippen cause like anyways get niggah get girl anyways yea anyways
3,0,0,3,2,look like take red marker color leg
9,7,2,0,0,hate fat bitch
3,0,0,3,2,love jigg jigg
9,3,6,0,1,gwyneth paltrow ugly ass big bird look bitch shut fuck ltltthat pretty much face bravo
3,1,2,0,1,female dm talk another nigga faggot b
3,0,3,0,1,man feel like bitch live female havin buy yo shit fucc never dependent someone
3,0,3,0,1,clown ass nigguh
3,0,0,3,2,hear mom play flappy bird living room
3,0,3,0,1,hella hoe
3,1,0,2,2,burritos trash
6,0,1,5,2,damn charlie wilson still around
3,0,1,2,2,confusing circumstance seem get way high ho virgo
3,0,3,0,1,fight bitch
3,0,3,0,1,ask tht bitch gon let yung nigga blast tht ass
3,0,3,0,1,not take advantage nice person hoe everyjuan
3,0,3,0,1,superman dat hoe watch uuuuuuuuuu
3,0,0,3,2,slippery slope not want lose right self defense st background check
3,2,1,0,0,would not know fag
3,0,1,2,2,grandma throw rap ones make th grade literally cry work trash
3,0,2,1,1,hell naw wanna see yes loltrash hell
3,0,3,0,1,bitch
3,0,3,0,1,like apple pineapple bitch
3,1,2,0,1,not tell fuck stop nd think protocol put shot someone unarmed retard
3,0,3,0,1,lil bitty bitch lingo
3,2,0,1,0,fag
3,0,3,0,1,wrongfilmquote everytime come kitchen kitchen goddamn refrigerator eatin pussy
3,0,0,3,2,office fuzzy sock favorite blanket literally need life rn
3,3,0,0,0,say bullshit damn nigger
3,0,3,0,1,well thing like drive yellow fucking lamborghini
3,0,3,0,1,ok rightwe teabagger gun nut like harris hell even fuck cop
3,0,3,0,1,bitch shut man talk
3,2,1,0,0,fucking royals bitch work
3,2,1,0,0,white trash warfare pt
3,0,0,3,2,temple beat rutger today happy clam
3,0,3,0,1,hate yal delete twitter somethin well bitch ass niggas
3,0,3,0,1,eat pussy could
3,2,1,0,0,see ugly bitch get pregnant let know nigga swill fuck anything pussy alcohol long excuse press
6,0,6,0,1,selfie booty pic cause bitch always look like ass
3,1,2,0,1,nah bama fan be not finna nigger run offense
3,2,1,0,0,poote either young thug gay bitch poote
3,0,0,3,2,conan obrien mock new call duty game getting kill repeatedly
3,2,1,0,0,good friend love justin beiber fag
3,0,3,0,1,text queer bait
3,0,3,0,1,not trust hoe lol na big we think bc guy talk girl first understand
3,1,0,2,2,greas
3,0,0,3,2,ok trash talkbut not see bama fan wish harm injury towards lsu player
3,0,0,3,2,struggle college work ice jj fish make money trash lol world come
3,0,3,0,1,dog government job shit do get last bitch
3,0,1,2,2,hick raver venn diagram large intersection
3,0,1,2,2,people say not let guy treat like yellow starburst favorite
3,0,3,0,1,aye needa keep head high care lose go try good ampsouth bunch trash talking pussys
3,2,1,0,0,niggas save hoe
3,0,3,0,1,light weight pussy
3,0,2,1,1,trash though
3,0,3,0,1,be not lady bitch
3,1,2,0,1,fucc niccas dnt want smoke
3,0,3,0,1,nigga spin around pussy
3,0,3,0,1,woman sluts freshman year college let hoe great
6,2,4,0,1,bitch stupid yal can not know bouta start pop bitch
6,0,6,0,1,idonthavetimefor ratchet hoe
3,0,3,0,1,coon hoe love put spaghetti salad fucking platesmh
3,0,3,0,1,drinking thaitea watch male drama queen bitch facebook whole lot snitch go
3,0,3,0,1,san diego niggah
3,0,3,0,1,hey faggot spell faggot right dipshit
3,1,2,0,1,imma shoot bitch
3,0,3,0,1,lazy redneck get back work govern stay twitter lie bullshitstockmantheliar
3,0,3,0,1,paint brush bugattis stundentpainters bitch paint like one french girl
3,0,0,3,2,international law enforcement operation disrupt shylock banking malware pcworld international law enforcem
3,0,3,0,1,fuck hoe keep give number college lmao
3,0,3,0,1,always feel funny chick call daddyit sound sexy bitch need go find dad
3,0,1,2,2,prob def good early set energy tool want tune less ho
3,0,3,0,1,original faggot
3,0,3,0,1,bitch catch body week ago everybody catch bullet hole
3,0,3,0,1,oh mean like start cunt jp something nothing
3,0,3,0,1,poor poor parker nothingwithout aaryn bitch would even know around looser
3,0,3,0,1,hey bitchadam show upbre beer
3,0,0,3,2,mixtape sell sole get banger
3,0,3,0,1,audio happy valentines day bitch play get lay
3,0,1,2,2,whenever see pic caption soft ghetto log minute
3,0,0,3,2,game win hit thursday cap great career guy st ballot hof else
3,1,0,2,2,clothe make look like redneck try good
3,0,2,1,1,hoe
3,0,3,0,1,goodnight pretty bitch n real niggas fuck da rest
4,0,4,0,1,ass slapping one great thing haha slap girl ass get mad be not get pussy week
3,0,3,0,1,yea native black proud bitch
3,0,3,0,1,pussy
3,1,2,0,1,hate fe bus hate fe bus high ho dairy hate fe bus
3,0,3,0,1,aids fuck smdh u punk bitch
3,0,3,0,1,finish essay quiz bitch
3,0,0,3,2,yall know skip bayless slit wrist romo lol
3,0,0,3,2,get every time throw trash away really belong
3,0,3,0,1,want someim damn tired fucking kitchen bitch hot need glass wine back rub
3,0,0,3,2,pink albino dolphin extremely rare exist wild
3,0,3,0,1,way fuck ur bitch
3,0,3,0,1,boat hoe please thank mom
3,0,3,0,1,got black bitch mad cuz main bitch vanilla
3,0,3,0,1,bitch bye
3,0,1,2,2,holy monkey ball warm today
3,0,3,0,1,young thug be not earn strip yet lol k banger wiz dat cuz lil nigguh rap game lol
3,0,3,0,1,fat bitch needa stop bite lip take picture yall look hungry sexy
3,0,3,0,1,famous woman big hoe
3,0,3,0,1,miss smiley graham daniel tho pretty cool beat andrews bitch ass every day
3,0,0,3,2,thank go clean trash ya lil nasty lol
3,0,3,0,1,fink catfish shit funny afta bitch think talk bow wow doe
3,0,0,3,2,love bird
3,0,3,0,1,aye hoe start come not forget put will not
3,0,3,0,1,hate bitch wanna talk bf break break bf nigga fuck inbox
3,1,0,2,2,illegal bring disease across border contagious patient separate other yellow tape pregnant teen
3,1,2,0,1,not let idiot can not even spell retarded get
3,0,3,0,1,say gon pay bitch rent even tryna buy extra sweet sour sauce mcdonalds
3,0,2,1,1,wet say trav see get hoe cali send money
3,2,1,0,0,retard
3,0,3,0,1,yes bitch realize dat
3,0,0,3,2,mcdonalds breakfast good lunch trash
3,0,0,3,2,think ill eat brownie pass
3,0,3,0,1,definition little squirrelly bitch
3,2,0,1,0,mix retard aap maoists terroristscongie delusional retard
3,0,3,0,1,brutus look girl get elevator walk different one bitch u can not come u can not u can not come
3,0,0,3,2,gas always cheap ghetto
3,0,3,0,1,stop scared choke sex u bitch ass niggas shell like say guy hit woman bed foh
3,0,3,0,1,need one not want hoe
3,0,3,0,1,never follow bitch bio look like
3,0,0,3,2,bf love crow thought might enjoy last tweet
3,0,2,1,1,ill bitch slap shadow realm
3,0,3,0,1,elizbian bitch like woman
3,0,3,0,1,hate drive rain _ drive deez nut botch mouth hoe
3,0,3,0,1,dude piss look fucking die least yoked ape
3,0,3,0,1,ha ha look fag say lol
3,1,0,2,2,auto tranny
3,0,3,0,1,go talk shit least back fight bitch ass nigga swear u niggas fake pussy boy
3,1,2,0,1,gay bitch
3,0,1,2,2,name something trash cavs
3,2,1,0,0,bitch like mixed wit italian chinese nd african american like bitch cuz eat ur
3,0,0,3,2,tortilla trash though
3,0,3,0,1,be not killer not push revenge like sweet joy next get pussy
3,1,2,0,1,sorry fuck yo bitch really dig nigga
3,0,0,3,2,good ghetto thug fpd arrest street ferguson
3,0,1,2,2,bitch finna get crunk eyebrow double papp
3,1,2,0,1,hahahaha aw nut try capture cunt
3,0,3,0,1,laughin screenshot bitch might code red
3,0,3,0,1,say ok u let ur man punch u ur pussy long make u cum
3,0,3,0,1,got vector job bitch
3,0,0,3,2,buckwheat porky
3,1,2,0,1,run mouth like bitch cut em
3,0,3,0,1,feel sorry nice people world actually solution hoe asshole problem
3,0,0,3,2,black people live entirely different world everything peach cream apparently take rose colored glass
3,0,3,0,1,pornandroidiphoneipadsexxxx fisting lovely sound fiste loose pussy
3,0,2,1,1,vodka hoe bent
4,1,3,0,1,gon start mess try break man home rack ill kill hoe breezy fam
3,0,3,0,1,evan buy polo eat pussy till receipt expire
3,0,1,2,2,nah reply like literally everyone else call trash go check not believe
3,0,0,3,2,egypt r muzzie bros still run thing tad well certainly respector dem though
3,0,3,0,1,get measly follower instagram probably bitch be not takin serious
3,0,2,1,1,though really hoe really u dummy take pic
3,0,3,0,1,lmao hella skinny bitch not like
3,0,3,0,1,ratchet bitch would
3,0,1,2,2,happycolumbusday not americakarlmarx would never think share colonialism injun
3,1,2,0,1,indigenouspeoplesday haha fuckin retarded commie hunter biden love snortin pygmie fairy dust not liberal
3,2,1,0,0,faggot
3,0,1,2,2,phone go class teacher say turn trash song mixtape
3,0,0,3,2,another major development jihadi circle al maqdisi hardcore jihadi theorist ask specifically relief amp aid worker release
3,2,1,0,0,hood niggas bitch love emoji lmfao
3,0,3,0,1,bitch mind business
3,0,3,0,1,not want fuck steve bitch lmao
3,0,0,3,2,peeps trash marsh mellow general trash
3,0,3,0,1,bad bitch gym u know be not get job
3,0,3,0,1,boom bitch
3,2,1,0,0,hate take shit public place bc feel like faggot place toilet paper toilet seat
3,0,3,0,1,ass little twat
3,0,1,2,2,brownies brownie brownie
3,0,0,3,2,thus endeth warm fuzzy holiday lesson never take love grant go flash
3,0,3,0,1,wake bless steaight kush stress thankin god success bitch say good
3,2,1,0,0,happy columbus day even billmaher like cocaine columbus fuck wrong liberal fuckin moron retard
3,3,0,0,0,fuck say bitch kill
3,0,0,3,2,can not wait day take boon entire nation
3,0,0,3,2,ah yardie reach wyoming live
3,0,3,0,1,fuck think think bitch produce fuck outta shit tell still rock vast majority skit
3,0,3,0,1,slide dm answer bitch
3,0,0,3,2,not good story time visit yellow friend
3,3,0,0,0,southcarolina full white trash
3,0,3,0,1,bitch
3,0,0,3,2,human genetically close chimp chimp gorilla ape great day clever twe
3,0,3,0,1,can not trust hoe say hoe mean dude
3,0,0,3,2,rememberit use funny coloured paper
3,0,3,0,1,apparently say something nice someone day mean try stick poker get bitch
6,0,6,0,1,fuck bitch
3,2,1,0,0,teach might get u get really hate disrespectful ass bitch class professor talk stfu bitch
3,0,0,3,2,rip tom foley rip greg sikorskey rip charlie anaya rip wells crowther rip andy fredericks
3,1,2,0,1,stockboy u talk u tweet lie childish shit obamayoure unqualified appeal dumb redneck
6,0,6,0,1,money neat bitch freaky everybody kno aint secret
3,0,1,2,2,lmao girlllaaaa not like em chunky anymore
3,0,3,0,1,hate bitch keep say yassss like like bitch u sound stupid stfu
3,1,2,0,1,facetime nigger
3,0,0,3,2,isis supporters america jihadis next door
3,0,0,3,2,real unreal lol yankees worldseries andcounting mlb mlbtheshow
3,1,2,0,1,csgo bitch
3,0,3,0,1,nig nog
3,0,3,0,1,hahahaha move bitch get wayyyeee
3,2,1,0,0,white man pick truck scream nigger coach get nerve get mad miss free throw
3,0,0,3,2,yesterday see red hair streak orange yellow comb like woody wood pecker
3,0,3,0,1,eeeeeeeee get hoe
3,0,2,1,1,get to find hoe
3,1,2,0,1,suppose go team beat we retard
3,0,1,2,2,morning trash
3,0,3,0,1,say bitch boy
3,0,3,0,1,not know hoeless not know congregate
3,0,3,0,1,badly hahahah omg pussy
3,0,0,3,2,sapete che vi odio ho finito
3,0,0,3,2,rescue elephant calf nunai look fuzzy international fund animal welfare rehabilitati
3,0,0,3,2,fairy tale deny existence sorrow failure
3,0,3,0,1,ring mvps bitch lol
3,0,0,3,2,apple need add colored emoji
3,0,0,3,2,monkey poor bottle
3,0,0,3,2,specie bird report chesterfield great backyard bird count many area
3,0,3,0,1,feel like bad bitch wear rhinestone pocket jean
3,0,0,3,2,could view future rosecolore glass libra
3,1,2,0,1,dark ie nig ok
3,2,1,0,0,chink really hunt food dog shoot arrow east
3,0,0,3,2,get hope cause stunk last night
3,0,0,3,2,gwb appointee go activist judges slant oh wait already expose completely farcical gwb appointee
3,1,2,0,1,lot niggas turn bitch sketch ass bitch
3,2,1,0,0,ayo even kill handicapped crippled bitcheslook scalp real close see triple six
6,0,0,6,2,rate cheer awful new york yankees st louis cardinals
3,0,3,0,1,damn go ova dea n get ass blow kno wat look like bitch play call duty frequently
3,2,1,0,0,god would sell nut watch lebron tear acl right watch pussy kill
3,1,2,0,1,another long mornin smhthank god nicca see tho real shit
3,2,1,0,0,do spell check know mean fat liberal dyke feminist nazi bitch
6,0,2,4,2,draft gungho folk send afghanistan war zone show
3,0,0,3,2,derrrrrrr st song actually good compare trash showman omg
3,0,2,1,1,nicca still tired last night wtf
3,0,3,0,1,marcus bitch ass be not loyal team hop ass
3,1,2,0,1,next finger dyke
3,0,3,0,1,drunk bitch
3,0,2,1,1,bro hoe live
3,0,3,0,1,mite hit rec know cell marcus jax gone try hit hoe
3,2,1,0,0,look faggot
3,0,1,2,2,today spy ops sol need clean lick lick bet cutie sneak smell good
3,0,3,0,1,bitch account
3,0,3,0,1,way fuck bitch
3,0,1,2,2,wait take ny get nip pierce
3,0,3,0,1,lol hoe bitch ass
3,0,0,3,2,maybe not feel great get hrs sleep surely last night box cookie amp cracker dinner chunk
3,0,3,0,1,unpredictable excuse retarded
3,0,2,1,1,update pretty much break g make absolutely annoying retarded
6,0,6,0,1,like yeah bitch
3,0,2,1,1,nip pierce
3,0,0,3,2,chillin homie leave british rapper turned isis jihadi poses severed head tcot
3,0,3,0,1,backdoor open hoe let fuck em ass usually extra charge plus rate agree upon
3,2,1,0,0,faggot respect
3,0,3,0,1,yea cuh bitch fuc donald sterling cuhz pimpin tho
3,0,3,0,1,good morning hoe ass niggas pimp c voice
3,0,3,0,1,holy shit freddie highmore charlie chocolate factory roll floor laugh
3,2,1,0,0,raunchy ass hoe
3,0,3,0,1,dat bitch noo cheek
3,1,2,0,1,niggas wanna call woman hoe leave nigga appreciate fuck lil niggas
3,0,0,3,2,really phone kinda guy actually hate talk phone amp texting kinda trash also
3,2,1,0,0,ppl expect august aslina nig new orleans
3,0,3,0,1,besides sister one two bitch always catch
3,2,1,0,0,many faggot think address first name
3,0,0,3,2,come man oreo need chill know good nah
3,0,3,0,1,bitch mess bo fault
3,0,3,0,1,idk let redneck shit ask samuela
3,0,1,2,2,everything jayz write trash
3,0,0,3,2,people picture far wide reason make teabagger poor spelling really angry
3,0,0,3,2,sheeze yellow bone
6,0,6,0,1,fuck right pussy
3,0,2,1,1,two need stop act like two little bitch
3,3,0,0,0,lmfaoooo hate black people black people nigger
3,1,0,2,2,damn cold fo colored man
3,0,3,0,1,hate chick say go deeply u already dishin u get hoe
3,0,0,3,2,windoowww bleaching tooth smile flash talk trash breath
3,0,2,1,1,not fuck hoe ask paco
3,1,2,0,1,lmao even bro girl thottie keep simple call hoe
3,0,3,0,1,like say pussy
3,0,1,2,2,want oreos amp milk honestly stop store amp pick way back lol
3,1,2,0,1,hate pregnant type bitch
6,0,6,0,1,bitch hallon
6,0,6,0,1,every bitch get fat ass rns
6,1,5,0,1,catch fat bitch slippin take selfie
6,0,6,0,1,ahhh stupid bitch
3,0,3,0,1,get bitch dm not ever readem top
